imagem_1,imagem_2,similaridade
dataset_final\images\train\test_1041.jpg,dataset_final\images\train\train_1043.jpg,90.62
dataset_final\images\train\test_1415.jpg,dataset_final\images\train\train_488.jpg,100.0
dataset_final\images\train\test_1421.jpg,dataset_final\images\train\val_1420.jpg,100.0
dataset_final\images\train\test_1445.jpg,dataset_final\images\train\val_1444.jpg,100.0
dataset_final\images\train\test_1448.jpg,dataset_final\images\train\train_1482.jpg,100.0
dataset_final\images\train\test_1460.jpg,dataset_final\images\test\train_1491.jpg,100.0
dataset_final\images\train\test_1463.jpg,dataset_final\images\train\train_1462.jpg,100.0
dataset_final\images\train\test_1503.jpg,dataset_final\images\train\val_1800.jpg,100.0
dataset_final\images\train\test_1503.jpg,dataset_final\images\val\train_1780.jpg,100.0
dataset_final\images\train\test_1508.jpg,dataset_final\images\train\train_1599.jpg,100.0
dataset_final\images\train\test_1508.jpg,dataset_final\images\train\train_1785.jpg,100.0
dataset_final\images\train\test_1508.jpg,dataset_final\images\train\train_1804.jpg,100.0
dataset_final\images\train\test_1521.jpg,dataset_final\images\train\train_1612.jpg,100.0
dataset_final\images\train\test_1521.jpg,dataset_final\images\test\train_1818.jpg,100.0
dataset_final\images\train\test_1532.jpg,dataset_final\images\train\train_1623.jpg,100.0
dataset_final\images\train\test_1532.jpg,dataset_final\images\val\train_1829.jpg,100.0
dataset_final\images\train\test_1540.jpg,dataset_final\images\train\val_1836.jpg,100.0
dataset_final\images\train\test_1540.jpg,dataset_final\images\val\train_1631.jpg,100.0
dataset_final\images\train\test_1546.jpg,dataset_final\images\train\val_1637.jpg,100.0
dataset_final\images\train\test_1546.jpg,dataset_final\images\test\val_1843.jpg,100.0
dataset_final\images\train\test_1562.jpg,dataset_final\images\train\train_1652.jpg,100.0
dataset_final\images\train\test_1562.jpg,dataset_final\images\val\train_1857.jpg,100.0
dataset_final\images\train\test_1589.jpg,dataset_final\images\val\train_1775.jpg,100.0
dataset_final\images\train\test_1589.jpg,dataset_final\images\test\train_1795.jpg,100.0
dataset_final\images\train\test_16.jpg,dataset_final\images\train\test_80.jpg,100.0
dataset_final\images\train\test_1606.jpg,dataset_final\images\train\val_1811.jpg,100.0
dataset_final\images\train\test_1622.jpg,dataset_final\images\train\train_1828.jpg,100.0
dataset_final\images\train\test_1622.jpg,dataset_final\images\val\train_1531.jpg,100.0
dataset_final\images\train\test_1658.jpg,dataset_final\images\train\train_1568.jpg,100.0
dataset_final\images\train\test_1658.jpg,dataset_final\images\test\val_1864.jpg,100.0
dataset_final\images\train\test_1681.jpg,dataset_final\images\train\val_1887.jpg,100.0
dataset_final\images\train\test_1704.jpg,dataset_final\images\train\test_1910.jpg,100.0
dataset_final\images\train\test_1708.jpg,dataset_final\images\train\train_1913.jpg,100.0
dataset_final\images\train\test_1721.jpg,dataset_final\images\train\train_1926.jpg,100.0
dataset_final\images\train\test_1722.jpg,dataset_final\images\train\train_1928.jpg,100.0
dataset_final\images\train\test_1725.jpg,dataset_final\images\train\train_1931.jpg,100.0
dataset_final\images\train\test_1751.jpg,dataset_final\images\val\val_1956.jpg,100.0
dataset_final\images\train\test_1761.jpg,dataset_final\images\test\train_1966.jpg,100.0
dataset_final\images\train\test_1799.jpg,dataset_final\images\train\val_1502.jpg,100.0
dataset_final\images\train\test_1799.jpg,dataset_final\images\val\test_1593.jpg,100.0
dataset_final\images\train\test_1799.jpg,dataset_final\images\val\test_1779.jpg,100.0
dataset_final\images\train\test_1833.jpg,dataset_final\images\train\val_1628.jpg,100.0
dataset_final\images\train\test_1859.jpg,dataset_final\images\train\val_1654.jpg,100.0
dataset_final\images\train\test_1859.jpg,dataset_final\images\val\val_1564.jpg,100.0
dataset_final\images\train\test_1867.jpg,dataset_final\images\train\train_1663.jpg,100.0
dataset_final\images\train\test_1870.jpg,dataset_final\images\train\train_1666.jpg,100.0
dataset_final\images\train\test_1870.jpg,dataset_final\images\val\train_1575.jpg,100.0
dataset_final\images\train\test_1909.jpg,dataset_final\images\test\train_1703.jpg,100.0
dataset_final\images\train\test_1942.jpg,dataset_final\images\val\val_1736.jpg,100.0
dataset_final\images\train\test_1958.jpg,dataset_final\images\test\val_1753.jpg,100.0
dataset_final\images\train\test_1962.jpg,dataset_final\images\train\train_1756.jpg,100.0
dataset_final\images\train\test_36.jpg,dataset_final\images\train\val_100.jpg,100.0
dataset_final\images\train\test_45.jpg,dataset_final\images\train\val_109.jpg,100.0
dataset_final\images\train\test_53.jpg,dataset_final\images\train\val_117.jpg,100.0
dataset_final\images\train\test_58.jpg,dataset_final\images\train\train_122.jpg,100.0
dataset_final\images\train\test_75.jpg,dataset_final\images\val\val_11.jpg,100.0
dataset_final\images\train\test_95.jpg,dataset_final\images\test\train_31.jpg,100.0
dataset_final\images\train\test_985.jpg,dataset_final\images\train\train_1428.jpg,100.0
dataset_final\images\train\train_105.jpg,dataset_final\images\train\train_41.jpg,100.0
dataset_final\images\train\train_108.jpg,dataset_final\images\train\val_44.jpg,100.0
dataset_final\images\train\train_115.jpg,dataset_final\images\test\train_51.jpg,100.0
dataset_final\images\train\train_116.jpg,dataset_final\images\train\train_52.jpg,100.0
dataset_final\images\train\train_123.jpg,dataset_final\images\train\train_59.jpg,100.0
dataset_final\images\train\train_1382.jpg,dataset_final\images\train\train_1463.jpg,100.0
dataset_final\images\train\train_1386.jpg,dataset_final\images\test\train_1466.jpg,100.0
dataset_final\images\train\train_1389.jpg,dataset_final\images\val\train_1469.jpg,100.0
dataset_final\images\train\train_1414.jpg,dataset_final\images\train\train_1415.jpg,100.0
dataset_final\images\train\train_1426.jpg,dataset_final\images\train\train_1427.jpg,100.0
dataset_final\images\train\train_1429.jpg,dataset_final\images\train\train_984.jpg,100.0
dataset_final\images\train\train_1430.jpg,dataset_final\images\train\train_1431.jpg,100.0
dataset_final\images\train\train_1435.jpg,dataset_final\images\test\train_496.jpg,100.0
dataset_final\images\train\train_1436.jpg,dataset_final\images\val\train_487.jpg,100.0
dataset_final\images\train\train_1438.jpg,dataset_final\images\train\train_1439.jpg,100.0
dataset_final\images\train\train_1441.jpg,dataset_final\images\val\train_429.jpg,100.0
dataset_final\images\train\train_1443.jpg,dataset_final\images\val\train_1442.jpg,100.0
dataset_final\images\train\train_1452.jpg,dataset_final\images\test\train_1453.jpg,100.0
dataset_final\images\train\train_1454.jpg,dataset_final\images\train\train_1486.jpg,100.0
dataset_final\images\train\train_1457.jpg,dataset_final\images\val\train_1456.jpg,100.0
dataset_final\images\train\train_1459.jpg,dataset_final\images\train\train_1490.jpg,100.0
dataset_final\images\train\train_1460.jpg,dataset_final\images\train\train_1461.jpg,100.0
dataset_final\images\train\train_1464.jpg,dataset_final\images\test\train_1384.jpg,100.0
dataset_final\images\train\train_1474.jpg,dataset_final\images\val\test_1393.jpg,100.0
dataset_final\images\train\train_1478.jpg,dataset_final\images\val\train_1444.jpg,100.0
dataset_final\images\train\train_1481.jpg,dataset_final\images\test\train_1447.jpg,100.0
dataset_final\images\train\train_1489.jpg,dataset_final\images\train\val_1458.jpg,100.0
dataset_final\images\train\train_1492.jpg,dataset_final\images\train\val_1462.jpg,100.0
dataset_final\images\train\train_1496.jpg,dataset_final\images\train\train_1773.jpg,100.0
dataset_final\images\train\train_1496.jpg,dataset_final\images\train\val_1587.jpg,100.0
dataset_final\images\train\train_1496.jpg,dataset_final\images\train\val_1792.jpg,100.0
dataset_final\images\train\train_1497.jpg,dataset_final\images\train\train_1774.jpg,100.0
dataset_final\images\train\train_1497.jpg,dataset_final\images\train\train_1793.jpg,100.0
dataset_final\images\train\train_1497.jpg,dataset_final\images\train\val_1588.jpg,100.0
dataset_final\images\train\train_1509.jpg,dataset_final\images\train\train_1600.jpg,100.0
dataset_final\images\train\train_1509.jpg,dataset_final\images\val\train_1786.jpg,100.0
dataset_final\images\train\train_1509.jpg,dataset_final\images\val\val_1806.jpg,100.0
dataset_final\images\train\train_1515.jpg,dataset_final\images\train\train_1812.jpg,100.0
dataset_final\images\train\train_1519.jpg,dataset_final\images\train\train_1610.jpg,100.0
dataset_final\images\train\train_1519.jpg,dataset_final\images\train\train_1815.jpg,100.0
dataset_final\images\train\train_1526.jpg,dataset_final\images\train\train_1618.jpg,100.0
dataset_final\images\train\train_1526.jpg,dataset_final\images\train\val_1823.jpg,100.0
dataset_final\images\train\train_1529.jpg,dataset_final\images\train\train_1825.jpg,100.0
dataset_final\images\train\train_1529.jpg,dataset_final\images\train\val_1620.jpg,100.0
dataset_final\images\train\train_1534.jpg,dataset_final\images\train\train_1625.jpg,100.0
dataset_final\images\train\train_1534.jpg,dataset_final\images\train\train_1831.jpg,100.0
dataset_final\images\train\train_1542.jpg,dataset_final\images\train\train_1839.jpg,100.0
dataset_final\images\train\train_1542.jpg,dataset_final\images\train\val_1633.jpg,100.0
dataset_final\images\train\train_1545.jpg,dataset_final\images\train\val_1842.jpg,100.0
dataset_final\images\train\train_1545.jpg,dataset_final\images\val\train_1636.jpg,100.0
dataset_final\images\train\train_1555.jpg,dataset_final\images\train\train_1645.jpg,100.0
dataset_final\images\train\train_1555.jpg,dataset_final\images\test\train_1851.jpg,100.0
dataset_final\images\train\train_1557.jpg,dataset_final\images\train\train_1647.jpg,100.0
dataset_final\images\train\train_1557.jpg,dataset_final\images\train\train_1853.jpg,100.0
dataset_final\images\train\train_1568.jpg,dataset_final\images\test\val_1864.jpg,100.0
dataset_final\images\train\train_1574.jpg,dataset_final\images\train\train_1665.jpg,100.0
dataset_final\images\train\train_1574.jpg,dataset_final\images\train\train_1869.jpg,100.0
dataset_final\images\train\train_1576.jpg,dataset_final\images\val\train_1667.jpg,100.0
dataset_final\images\train\train_1576.jpg,dataset_final\images\val\train_1872.jpg,100.0
dataset_final\images\train\train_1577.jpg,dataset_final\images\val\train_1668.jpg,100.0
dataset_final\images\train\train_1577.jpg,dataset_final\images\val\train_1873.jpg,100.0
dataset_final\images\train\train_1578.jpg,dataset_final\images\train\train_1669.jpg,100.0
dataset_final\images\train\train_1578.jpg,dataset_final\images\train\val_1874.jpg,100.0
dataset_final\images\train\train_1581.jpg,dataset_final\images\train\train_1673.jpg,100.0
dataset_final\images\train\train_1581.jpg,dataset_final\images\train\train_1877.jpg,100.0
dataset_final\images\train\train_1584.jpg,dataset_final\images\train\train_1879.jpg,100.0
dataset_final\images\train\train_1584.jpg,dataset_final\images\train\val_1675.jpg,100.0
dataset_final\images\train\train_1584.jpg,dataset_final\images\train\val_1789.jpg,100.0
dataset_final\images\train\train_1586.jpg,dataset_final\images\train\train_1791.jpg,100.0
dataset_final\images\train\train_1586.jpg,dataset_final\images\val\train_1495.jpg,100.0
dataset_final\images\train\train_1586.jpg,dataset_final\images\val\train_1770.jpg,100.0
dataset_final\images\train\train_1599.jpg,dataset_final\images\train\train_1785.jpg,100.0
dataset_final\images\train\train_1599.jpg,dataset_final\images\train\train_1804.jpg,100.0
dataset_final\images\train\train_1600.jpg,dataset_final\images\val\train_1786.jpg,100.0
dataset_final\images\train\train_1600.jpg,dataset_final\images\val\val_1806.jpg,100.0
dataset_final\images\train\train_1602.jpg,dataset_final\images\train\val_1808.jpg,100.0
dataset_final\images\train\train_1604.jpg,dataset_final\images\train\train_1810.jpg,100.0
dataset_final\images\train\train_1604.jpg,dataset_final\images\val\train_1513.jpg,100.0
dataset_final\images\train\train_1609.jpg,dataset_final\images\train\train_1814.jpg,100.0
dataset_final\images\train\train_1610.jpg,dataset_final\images\train\train_1815.jpg,100.0
dataset_final\images\train\train_1611.jpg,dataset_final\images\train\train_1817.jpg,100.0
dataset_final\images\train\train_1612.jpg,dataset_final\images\test\train_1818.jpg,100.0
dataset_final\images\train\train_1614.jpg,dataset_final\images\train\train_1820.jpg,100.0
dataset_final\images\train\train_1614.jpg,dataset_final\images\val\train_1523.jpg,100.0
dataset_final\images\train\train_1615.jpg,dataset_final\images\val\train_1821.jpg,100.0
dataset_final\images\train\train_1618.jpg,dataset_final\images\train\val_1823.jpg,100.0
dataset_final\images\train\train_1619.jpg,dataset_final\images\train\train_1824.jpg,100.0
dataset_final\images\train\train_1619.jpg,dataset_final\images\train\val_1528.jpg,100.0
dataset_final\images\train\train_1623.jpg,dataset_final\images\val\train_1829.jpg,100.0
dataset_final\images\train\train_1624.jpg,dataset_final\images\train\train_1830.jpg,100.0
dataset_final\images\train\train_1625.jpg,dataset_final\images\train\train_1831.jpg,100.0
dataset_final\images\train\train_1626.jpg,dataset_final\images\train\train_1832.jpg,100.0
dataset_final\images\train\train_1626.jpg,dataset_final\images\val\val_1535.jpg,100.0
dataset_final\images\train\train_1630.jpg,dataset_final\images\train\train_1835.jpg,100.0
dataset_final\images\train\train_1630.jpg,dataset_final\images\val\train_1539.jpg,100.0
dataset_final\images\train\train_1634.jpg,dataset_final\images\train\train_1840.jpg,100.0
dataset_final\images\train\train_1635.jpg,dataset_final\images\train\val_1841.jpg,100.0
dataset_final\images\train\train_1635.jpg,dataset_final\images\val\val_1544.jpg,100.0
dataset_final\images\train\train_1639.jpg,dataset_final\images\train\train_1844.jpg,100.0
dataset_final\images\train\train_1640.jpg,dataset_final\images\train\train_1845.jpg,100.0
dataset_final\images\train\train_1640.jpg,dataset_final\images\test\train_1548.jpg,100.0
dataset_final\images\train\train_1643.jpg,dataset_final\images\train\val_1553.jpg,100.0
dataset_final\images\train\train_1643.jpg,dataset_final\images\val\train_1848.jpg,100.0
dataset_final\images\train\train_1645.jpg,dataset_final\images\test\train_1851.jpg,100.0
dataset_final\images\train\train_1646.jpg,dataset_final\images\train\train_1852.jpg,100.0
dataset_final\images\train\train_1646.jpg,dataset_final\images\train\val_1556.jpg,100.0
dataset_final\images\train\train_1647.jpg,dataset_final\images\train\train_1853.jpg,100.0
dataset_final\images\train\train_1648.jpg,dataset_final\images\train\train_1854.jpg,100.0
dataset_final\images\train\train_1650.jpg,dataset_final\images\train\train_1855.jpg,100.0
dataset_final\images\train\train_1650.jpg,dataset_final\images\val\train_1559.jpg,100.0
dataset_final\images\train\train_1652.jpg,dataset_final\images\val\train_1857.jpg,100.0
dataset_final\images\train\train_1655.jpg,dataset_final\images\train\train_1861.jpg,100.0
dataset_final\images\train\train_1655.jpg,dataset_final\images\val\train_1565.jpg,100.0
dataset_final\images\train\train_1656.jpg,dataset_final\images\train\train_1862.jpg,100.0
dataset_final\images\train\train_1656.jpg,dataset_final\images\test\val_1566.jpg,100.0
dataset_final\images\train\train_1657.jpg,dataset_final\images\train\train_1863.jpg,100.0
dataset_final\images\train\train_1659.jpg,dataset_final\images\val\train_1865.jpg,100.0
dataset_final\images\train\train_1662.jpg,dataset_final\images\train\val_1866.jpg,100.0
dataset_final\images\train\train_1662.jpg,dataset_final\images\val\train_1570.jpg,100.0
dataset_final\images\train\train_1664.jpg,dataset_final\images\train\train_1868.jpg,100.0
dataset_final\images\train\train_1664.jpg,dataset_final\images\train\val_1573.jpg,100.0
dataset_final\images\train\train_1665.jpg,dataset_final\images\train\train_1869.jpg,100.0
dataset_final\images\train\train_1666.jpg,dataset_final\images\val\train_1575.jpg,100.0
dataset_final\images\train\train_1669.jpg,dataset_final\images\train\val_1874.jpg,100.0
dataset_final\images\train\train_1673.jpg,dataset_final\images\train\train_1877.jpg,100.0
dataset_final\images\train\train_1677.jpg,dataset_final\images\train\train_1881.jpg,100.0
dataset_final\images\train\train_1682.jpg,dataset_final\images\train\train_1888.jpg,100.0
dataset_final\images\train\train_1684.jpg,dataset_final\images\train\train_1889.jpg,100.0
dataset_final\images\train\train_1692.jpg,dataset_final\images\val\train_1898.jpg,100.0
dataset_final\images\train\train_1693.jpg,dataset_final\images\train\train_1899.jpg,100.0
dataset_final\images\train\train_17.jpg,dataset_final\images\train\val_81.jpg,100.0
dataset_final\images\train\train_1700.jpg,dataset_final\images\train\train_1906.jpg,100.0
dataset_final\images\train\train_1701.jpg,dataset_final\images\test\train_1907.jpg,100.0
dataset_final\images\train\train_1702.jpg,dataset_final\images\train\train_1908.jpg,100.0
dataset_final\images\train\train_1707.jpg,dataset_final\images\test\test_1912.jpg,100.0
dataset_final\images\train\train_1709.jpg,dataset_final\images\val\train_1914.jpg,100.0
dataset_final\images\train\train_1711.jpg,dataset_final\images\train\train_1917.jpg,100.0
dataset_final\images\train\train_1712.jpg,dataset_final\images\train\val_1918.jpg,100.0
dataset_final\images\train\train_1715.jpg,dataset_final\images\val\train_1921.jpg,100.0
dataset_final\images\train\train_1718.jpg,dataset_final\images\val\test_1923.jpg,100.0
dataset_final\images\train\train_1724.jpg,dataset_final\images\train\train_1930.jpg,100.0
dataset_final\images\train\train_1728.jpg,dataset_final\images\train\train_1933.jpg,100.0
dataset_final\images\train\train_1729.jpg,dataset_final\images\train\val_1934.jpg,100.0
dataset_final\images\train\train_1730.jpg,dataset_final\images\val\test_1935.jpg,100.0
dataset_final\images\train\train_1731.jpg,dataset_final\images\train\train_1936.jpg,100.0
dataset_final\images\train\train_1732.jpg,dataset_final\images\train\train_1937.jpg,100.0
dataset_final\images\train\train_1733.jpg,dataset_final\images\val\train_1939.jpg,100.0
dataset_final\images\train\train_1734.jpg,dataset_final\images\train\val_1940.jpg,100.0
dataset_final\images\train\train_1740.jpg,dataset_final\images\train\train_1945.jpg,100.0
dataset_final\images\train\train_1743.jpg,dataset_final\images\train\train_1948.jpg,100.0
dataset_final\images\train\train_1744.jpg,dataset_final\images\test\train_1950.jpg,100.0
dataset_final\images\train\train_1746.jpg,dataset_final\images\train\train_1952.jpg,100.0
dataset_final\images\train\train_1754.jpg,dataset_final\images\test\train_1959.jpg,100.0
dataset_final\images\train\train_1759.jpg,dataset_final\images\train\train_1965.jpg,100.0
dataset_final\images\train\train_1762.jpg,dataset_final\images\train\val_1967.jpg,100.0
dataset_final\images\train\train_1763.jpg,dataset_final\images\train\train_1968.jpg,100.0
dataset_final\images\train\train_1764.jpg,dataset_final\images\train\train_1969.jpg,100.0
dataset_final\images\train\train_1765.jpg,dataset_final\images\train\train_1970.jpg,100.0
dataset_final\images\train\train_1766.jpg,dataset_final\images\train\val_1972.jpg,100.0
dataset_final\images\train\train_1768.jpg,dataset_final\images\test\train_1974.jpg,100.0
dataset_final\images\train\train_1769.jpg,dataset_final\images\train\train_1790.jpg,100.0
dataset_final\images\train\train_1769.jpg,dataset_final\images\test\train_1585.jpg,100.0
dataset_final\images\train\train_1773.jpg,dataset_final\images\train\val_1587.jpg,100.0
dataset_final\images\train\train_1773.jpg,dataset_final\images\train\val_1792.jpg,100.0
dataset_final\images\train\train_1774.jpg,dataset_final\images\train\train_1793.jpg,100.0
dataset_final\images\train\train_1774.jpg,dataset_final\images\train\val_1588.jpg,100.0
dataset_final\images\train\train_1776.jpg,dataset_final\images\train\train_1796.jpg,100.0
dataset_final\images\train\train_1776.jpg,dataset_final\images\train\val_1590.jpg,100.0
dataset_final\images\train\train_1776.jpg,dataset_final\images\test\test_1499.jpg,100.0
dataset_final\images\train\train_1778.jpg,dataset_final\images\val\train_1798.jpg,100.0
dataset_final\images\train\train_1781.jpg,dataset_final\images\train\train_1801.jpg,100.0
dataset_final\images\train\train_1782.jpg,dataset_final\images\train\val_1597.jpg,100.0
dataset_final\images\train\train_1782.jpg,dataset_final\images\train\val_1802.jpg,100.0
dataset_final\images\train\train_1784.jpg,dataset_final\images\train\train_1803.jpg,100.0
dataset_final\images\train\train_1784.jpg,dataset_final\images\train\val_1598.jpg,100.0
dataset_final\images\train\train_1784.jpg,dataset_final\images\test\train_1507.jpg,100.0
dataset_final\images\train\train_1785.jpg,dataset_final\images\train\train_1804.jpg,100.0
dataset_final\images\train\train_1788.jpg,dataset_final\images\train\val_1674.jpg,100.0
dataset_final\images\train\train_1788.jpg,dataset_final\images\train\val_1878.jpg,100.0
dataset_final\images\train\train_1790.jpg,dataset_final\images\test\train_1585.jpg,100.0
dataset_final\images\train\train_1791.jpg,dataset_final\images\val\train_1495.jpg,100.0
dataset_final\images\train\train_1791.jpg,dataset_final\images\val\train_1770.jpg,100.0
dataset_final\images\train\train_1793.jpg,dataset_final\images\train\val_1588.jpg,100.0
dataset_final\images\train\train_1796.jpg,dataset_final\images\train\val_1590.jpg,100.0
dataset_final\images\train\train_1796.jpg,dataset_final\images\test\test_1499.jpg,100.0
dataset_final\images\train\train_1797.jpg,dataset_final\images\train\val_1777.jpg,100.0
dataset_final\images\train\train_1797.jpg,dataset_final\images\val\train_1500.jpg,100.0
dataset_final\images\train\train_1797.jpg,dataset_final\images\test\train_1591.jpg,100.0
dataset_final\images\train\train_18.jpg,dataset_final\images\train\train_82.jpg,100.0
dataset_final\images\train\train_1803.jpg,dataset_final\images\train\val_1598.jpg,100.0
dataset_final\images\train\train_1803.jpg,dataset_final\images\test\train_1507.jpg,100.0
dataset_final\images\train\train_1809.jpg,dataset_final\images\test\train_1512.jpg,100.0
dataset_final\images\train\train_1810.jpg,dataset_final\images\val\train_1513.jpg,100.0
dataset_final\images\train\train_1813.jpg,dataset_final\images\train\val_1608.jpg,100.0
dataset_final\images\train\train_1813.jpg,dataset_final\images\val\val_1517.jpg,100.0
dataset_final\images\train\train_1819.jpg,dataset_final\images\val\val_1613.jpg,100.0
dataset_final\images\train\train_1820.jpg,dataset_final\images\val\train_1523.jpg,100.0
