epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,282.63,1.73717,2.09882,1.63434,0.43874,0.48464,0.41545,0.17212,1.77682,3.0786,1.7357,0.00099435,0.00099435,0.0678493
2,557.582,1.69917,1.93088,1.64094,0.50818,0.50881,0.48119,0.22918,1.64969,2.0145,1.5714,0.0019779,0.0019779,0.0354996
3,832.382,1.69243,1.86168,1.61938,0.46634,0.51305,0.45138,0.20771,1.62685,2.12487,1.605,0.00294494,0.00294494,0.00313327
4,1108.73,1.66616,1.82225,1.6172,0.4971,0.54079,0.49074,0.2363,1.63897,1.73159,1.58543,0.00292575,0.00292575,0.00292575
5,1384.07,1.64281,1.79764,1.60339,0.51204,0.56113,0.49976,0.23972,1.54317,1.69009,1.54071,0.002901,0.002901,0.002901
6,1662.3,1.59874,1.72817,1.5777,0.51564,0.51085,0.47485,0.24364,1.57688,1.71147,1.54901,0.00287625,0.00287625,0.00287625
7,1949.87,1.58642,1.69225,1.56053,0.56967,0.55287,0.56173,0.27873,1.60113,1.58902,1.5413,0.0028515,0.0028515,0.0028515
8,2221.59,1.58044,1.69179,1.55855,0.57459,0.54884,0.54887,0.28699,1.52312,1.54262,1.47702,0.00282675,0.00282675,0.00282675
9,2490.49,1.56043,1.66726,1.54068,0.57816,0.56974,0.56928,0.28177,1.59442,1.54786,1.54461,0.002802,0.002802,0.002802
10,2777.6,1.54318,1.62812,1.53111,0.55858,0.55715,0.55461,0.28017,1.54635,1.54024,1.50154,0.00277725,0.00277725,0.00277725
11,3056.43,1.55408,1.62308,1.53309,0.55037,0.57024,0.55379,0.29314,1.51033,1.51731,1.48542,0.0027525,0.0027525,0.0027525
12,3337.46,1.52797,1.58901,1.50922,0.53577,0.58434,0.53772,0.28252,1.48982,1.55777,1.47884,0.00272775,0.00272775,0.00272775
13,3612.29,1.51659,1.56726,1.50756,0.56262,0.58434,0.5601,0.2952,1.48802,1.49057,1.45691,0.002703,0.002703,0.002703
14,3959.79,1.5061,1.56248,1.50517,0.55407,0.55212,0.55723,0.26738,1.67321,1.57513,1.59197,0.00267825,0.00267825,0.00267825
15,4317.5,1.51999,1.58333,1.51406,0.56857,0.59292,0.58064,0.29985,1.4639,1.51967,1.45548,0.0026535,0.0026535,0.0026535
16,4721.51,1.50324,1.55208,1.50469,0.5739,0.59272,0.58632,0.31402,1.49114,1.43129,1.48952,0.00262875,0.00262875,0.00262875
17,5103.59,1.50935,1.57707,1.51445,0.6149,0.59491,0.61161,0.32806,1.46804,1.39494,1.45022,0.002604,0.002604,0.002604
18,5494.99,1.49338,1.54903,1.506,0.61381,0.59215,0.6061,0.32202,1.4943,1.37555,1.47383,0.00257925,0.00257925,0.00257925
19,5878.65,1.47869,1.51018,1.49648,0.59184,0.60448,0.60254,0.32126,1.46075,1.41819,1.46709,0.0025545,0.0025545,0.0025545
20,6253.55,1.49125,1.51909,1.49274,0.61425,0.61757,0.62396,0.313,1.58186,1.38531,1.53361,0.00252975,0.00252975,0.00252975
21,6623.07,1.45072,1.48142,1.48416,0.59597,0.59844,0.59489,0.31187,1.52733,1.43779,1.50391,0.002505,0.002505,0.002505
22,7028,1.47598,1.53149,1.4944,0.58492,0.58258,0.59121,0.32663,1.46389,1.39239,1.46523,0.00248025,0.00248025,0.00248025
23,7418.88,1.45664,1.4754,1.47067,0.60483,0.60347,0.61331,0.32217,1.48637,1.40228,1.46908,0.0024555,0.0024555,0.0024555
24,7799.9,1.45357,1.43913,1.47078,0.61867,0.61455,0.63106,0.33629,1.49725,1.33293,1.47295,0.00243075,0.00243075,0.00243075
25,8222.21,1.46603,1.45778,1.47132,0.58527,0.59466,0.60222,0.31866,1.50722,1.37267,1.4911,0.002406,0.002406,0.002406
